PERMNO,date,TICKER,COMNAM,RET,sprtrn
89916,09/30/2011,NXST,NEXSTAR BROADCASTING GROUP INC,0.083607,-0.071762
89916,10/31/2011,NXST,NEXSTAR BROADCASTING GROUP INC,0.376702,0.107723
89916,11/30/2011,NXST,NEXSTAR BROADCASTING GROUP INC,-0.126374,-0.005059
89916,12/30/2011,NXST,NEXSTAR BROADCASTING GROUP INC,-0.013836,0.008533
89916,01/31/2012,NXST,NEXSTAR BROADCASTING GROUP INC,0.080357,0.043583
89916,02/29/2012,NXST,NEXSTAR BROADCASTING GROUP INC,-0.025974,0.040589
89916,03/30/2012,NXST,NEXSTAR BROADCASTING GROUP INC,0.007273,0.031332
89916,04/30/2012,NXST,NEXSTAR BROADCASTING GROUP INC,-0.067389,-0.007497
89916,05/31/2012,NXST,NEXSTAR BROADCASTING GROUP INC,-0.144516,-0.062651
89916,06/29/2012,NXST,NEXSTAR BROADCASTING GROUP INC,0.016591,0.039555
89916,07/31/2012,NXST,NEXSTAR BROADCASTING GROUP INC,-0.032641,0.012598
89916,08/31/2012,NXST,NEXSTAR BROADCASTING GROUP INC,0.328221,0.019763
89916,09/28/2012,NXST,NEXSTAR BROADCASTING GROUP INC,0.226328,0.024236
89916,10/31/2012,NXST,NEXSTAR BROADCASTING GROUP INC,0.023540,-0.019789
89916,11/30/2012,NXST,NEXSTAR BROADCASTING GROUP INC,-0.172033,0.002847
89916,12/31/2012,NXST,NEXSTAR BROADCASTING GROUP INC,0.176667,0.007068
89916,01/31/2013,NXST,NEXSTAR BROADCASTING GROUP INC,0.357885,0.050428
89916,02/28/2013,NXST,NEXSTAR BROADCASTING GROUP INC,0.041725,0.011061
89916,03/28/2013,NXST,NEXSTAR BROADCASTING GROUP INC,0.211306,0.035988
89916,04/30/2013,NXST,NEXSTAR BROADCASTING GROUP INC,0.352778,0.018086
89916,05/31/2013,NXST,NEXSTAR BROADCASTING GROUP INC,0.154825,0.020763
89916,06/28/2013,NXST,NEXSTAR BROADCASTING GROUP INC,0.266429,-0.014999
89916,07/31/2013,NXST,NEXSTAR BROADCASTING GROUP INC,0.016357,0.049462
89916,08/30/2013,NXST,NEXSTAR BROADCASTING GROUP INC,-0.065205,-0.031298
89916,09/30/2013,NXST,NEXSTAR BROADCASTING GROUP INC,0.325737,0.029749
89916,10/31/2013,NXST,NEXSTAR BROADCASTING GROUP INC,-0.002584,0.044596
89916,11/29/2013,NXST,NEXSTAR BROADCASTING GROUP INC,0.121649,0.028049
89916,12/31/2013,NXST,NEXSTAR BROADCASTING GROUP INC,0.122005,0.023563
89916,01/31/2014,NXST,NEXSTAR BROADCASTING GROUP INC,-0.137807,-0.035583
89916,02/28/2014,NXST,NEXSTAR BROADCASTING GROUP INC,-0.108637,0.043117
89916,03/31/2014,NXST,NEXSTAR BROADCASTING GROUP INC,-0.120900,0.006932
89916,04/30/2014,NXST,NEXSTAR BROADCASTING GROUP INC,0.062100,0.006201
89916,05/30/2014,NXST,NEXSTAR BROADCASTING GROUP INC,0.169636,0.021030
89916,06/30/2014,NXST,NEXSTAR BROADCASTING GROUP INC,0.110848,0.019058
89916,07/31/2014,NXST,NEXSTAR BROADCASTING GROUP INC,-0.097268,-0.015080
89916,08/29/2014,NXST,NEXSTAR BROADCASTING GROUP INC,-0.017171,0.037655
89916,09/30/2014,NXST,NEXSTAR BROADCASTING GROUP INC,-0.114373,-0.015514
